date,mvrv,mvrv_zscore,realized_price,hashrate
2022-08-28,0.9142,-0.1374,21649.0,226907929.42
2022-08-29,0.9419,-0.0959,21650.1,221270464.91
2022-08-30,0.9223,-0.1249,21621.9,228317294.54
2022-08-31,0.932,-0.1104,21612.3,220515247.03
2022-09-01,0.9362,-0.1039,21599.8,212503107.42
2022-09-02,0.9295,-0.1136,21581.6,198644209.06
2022-09-03,0.923,-0.1234,21577.9,226362005.78
2022-09-04,0.9302,-0.1126,21580.5,258699436.76
2022-09-05,0.9229,-0.1236,21573.7,235601272.09
2022-09-06,0.8798,-0.1876,21541.9,218662618.29
2022-09-07,0.901,-0.1559,21533.0,224822129.17
2022-09-08,0.9027,-0.1533,21521.0,195564453.62
2022-09-09,0.9976,-0.012,21535.7,226362005.78
2022-09-10,1.014,0.0124,21537.3,241760782.96
2022-09-11,1.0151,0.0139,21533.4,281797599.21
2022-09-12,1.0445,0.0576,21536.7,235601272.09
2022-09-13,0.9448,-0.0906,21466.6,212237771.67
2022-09-14,0.9496,-0.0834,21444.4,202308898.96
2022-09-15,0.9251,-0.1196,21414.4,234168568.5
2022-09-16,0.9275,-0.116,21407.7,203901883.69
2022-09-17,0.9454,-0.0895,21405.0,270807189.96
2022-09-18,0.9131,-0.1372,21396.6,245319452.49
2022-09-19,0.9199,-0.1271,21382.2,207087850.88
2022-09-20,0.8883,-0.1736,21364.4,242133487.6
2022-09-21,0.8717,-0.1978,21346.0,224610669.24
2022-09-22,0.9146,-0.1346,21346.1,203901883.69
2022-09-23,0.9107,-0.1403,21340.7,215052767.69
2022-09-24,0.8919,-0.1681,21336.3,232575586.05
2022-09-25,0.8859,-0.1768,21330.2,234168568.5
2022-09-26,0.9053,-0.1482,21326.9,238947520.42
2022-09-27,0.9015,-0.1537,21311.1,205494866.14
2022-09-28,0.9185,-0.1285,21297.4,234113533.83
2022-09-29,0.9231,-0.1219,21289.3,222928607.67
2022-09-30,0.919,-0.1282,21274.1,263461080.37
2022-10-01,0.9134,-0.1366,21270.6,282168375.28
2022-10-02,0.8995,-0.1569,21265.4,244753785.45
2022-10-03,0.9289,-0.1138,21264.2,240076960.04
2022-10-04,0.9624,-0.0644,21263.5,254107431.79
2022-10-05,0.9539,-0.0769,21257.0,272814728.95
2022-10-06,0.9445,-0.0906,21249.6,247871668.31
2022-10-07,0.9253,-0.1186,21238.6,266578963.23
2022-10-08,0.92,-0.1265,21229.2,272814728.95
2022-10-09,0.9207,-0.1255,21227.1,246312725.76
2022-10-10,0.9081,-0.144,21217.3,282818946.67
2022-10-11,0.903,-0.1515,21209.0,277924882.77
