date,m2_eeuu,m2_semanal,m2_real,balance_fed
2010-01-01,8473.1,,3895.9,
2010-01-04,,8551.8,,
2010-01-06,,,,2235304.0
2010-01-11,,8513.2,,
2010-01-13,,,,2291700.0
2010-01-18,,8496.9,,
2010-01-20,,,,2251806.0
2010-01-25,,8432.0,,
2010-01-27,,,,2246886.0
2010-02-01,8523.4,8450.2,3922.8,
2010-02-03,,,,2249319.0
2010-02-08,,8502.3,,
2010-02-10,,,,2256679.0
2010-02-15,,8550.9,,
2010-02-17,,,,2277574.0
2010-02-22,,8528.1,,
2010-02-24,,,,2286127.0
2010-03-01,8519.0,8547.3,3919.4,
2010-03-03,,,,2280147.0
2010-03-08,,8601.3,,
2010-03-10,,,,2282474.0
2010-03-15,,8619.1,,
2010-03-17,,,,2307997.0
2010-03-22,,8583.5,,
2010-03-24,,,,2313149.0
2010-03-29,,8576.4,,
2010-03-31,,,,2307150.0
2010-04-01,8554.3,,3934.8,
2010-04-05,,8677.2,,
2010-04-07,,,,2307575.0
2010-04-12,,8660.9,,
2010-04-14,,,,2339345.0
2010-04-19,,8641.2,,
2010-04-21,,,,2337556.0
2010-04-26,,8545.9,,
2010-04-28,,,,2330472.0
2010-05-01,8612.0,,3963.4,
2010-05-03,,8572.4,,
2010-05-05,,,,2326164.0
2010-05-10,,8599.9,,
2010-05-12,,,,2336103.0
2010-05-17,,8636.4,,
2010-05-19,,,,2350890.0
2010-05-24,,8566.1,,
2010-05-26,,,,2334041.0
2010-05-31,,8608.3,,
2010-06-01,8631.0,,3973.8,
2010-06-02,,,,2336216.0
2010-06-07,,8669.9,,
2010-06-09,,,,2331529.0
2010-06-14,,8647.6,,
2010-06-16,,,,2344316.0
2010-06-21,,8617.8,,
2010-06-23,,,,2344497.0
2010-06-28,,8575.8,,
2010-06-30,,,,2330851.0
2010-07-01,8642.3,,3971.6,
2010-07-05,,8624.9,,
2010-07-07,,,,2332017.0
2010-07-12,,8620.0,,
2010-07-14,,,,2340717.0
2010-07-19,,8594.9,,
2010-07-21,,,,2332322.0
2010-07-26,,8554.8,,
2010-07-28,,,,2325298.0
2010-08-01,8690.5,,3987.9,
2010-08-02,,8604.0,,
2010-08-04,,,,2326479.0
2010-08-09,,8644.7,,
2010-08-11,,,,2327533.0
2010-08-16,,8650.4,,
2010-08-18,,,,2313662.0
2010-08-23,,8598.6,,
2010-08-25,,,,2301015.0
2010-08-30,,8604.5,,
2010-09-01,8719.6,,3994.8,2301996.0
2010-09-06,,8688.4,,
2010-09-08,,,,2305802.0
2010-09-13,,8701.4,,
2010-09-15,,,,2296079.0
2010-09-20,,8664.6,,
