date,nasdaq,dxy,bono10y,vix,tipo_fed
2011-01-01,,,,,0.13
2011-01-02,,,,,0.13
2011-01-03,2691.52,89.9524,3.36,17.61,0.19
2011-01-04,2681.25,90.3277,3.36,17.38,0.18
2011-01-05,2702.2,90.5715,3.5,17.02,0.18
2011-01-06,2709.89,90.9125,3.44,17.4,0.17
2011-01-07,2703.17,91.0001,3.34,17.14,0.17
2011-01-08,,,,,0.17
2011-01-09,,,,,0.17
2011-01-10,2707.8,91.03,3.32,17.54,0.17
2011-01-11,2716.83,90.8431,3.37,16.89,0.17
2011-01-12,2737.33,90.4111,3.4,16.24,0.16
2011-01-13,2735.29,89.9019,3.34,16.39,0.16
2011-01-14,2755.3,90.0461,3.35,15.46,0.16
2011-01-15,,,,,0.16
2011-01-16,,,,,0.16
2011-01-17,,,,,0.16
2011-01-18,2765.85,89.821,3.39,15.87,0.19
2011-01-19,2725.36,89.6948,3.37,17.31,0.18
2011-01-20,2704.29,90.1316,3.47,17.99,0.18
2011-01-21,2689.54,89.7204,3.44,18.47,0.17
2011-01-22,,,,,0.17
2011-01-23,,,,,0.17
2011-01-24,2717.55,89.5375,3.43,17.65,0.18
2011-01-25,2719.25,89.7279,3.35,17.59,0.17
2011-01-26,2739.5,89.5091,3.45,16.64,0.17
2011-01-27,2755.28,89.5728,3.42,16.15,0.17
2011-01-28,2686.89,89.8189,3.36,20.04,0.17
2011-01-29,,,,,0.17
2011-01-30,,,,,0.17
2011-01-31,2700.08,89.694,3.42,19.53,0.17
2011-02-01,2751.19,89.1436,3.48,17.63,0.18
2011-02-02,2749.56,89.0737,3.52,17.3,0.18
2011-02-03,2753.88,89.2522,3.58,16.69,0.17
2011-02-04,2769.3,89.391,3.68,15.93,0.17
2011-02-05,,,,,0.17
2011-02-06,,,,,0.17
2011-02-07,2783.99,89.3556,3.68,16.28,0.17
2011-02-08,2797.05,89.1241,3.75,15.81,0.16
2011-02-09,2789.07,89.4166,3.65,15.87,0.15
2011-02-10,2790.45,89.6266,3.7,16.09,0.15
2011-02-11,2809.44,89.8784,3.64,15.69,0.15
2011-02-12,,,,,0.15
2011-02-13,,,,,0.15
2011-02-14,2817.18,89.8543,3.62,15.95,0.15
2011-02-15,2804.35,89.8871,3.61,16.37,0.16
2011-02-16,2825.56,89.7059,3.62,16.72,0.15
2011-02-17,2831.58,89.4102,3.58,16.59,0.15
2011-02-18,2833.95,89.1974,3.59,16.43,0.15
2011-02-19,,,,,0.15
2011-02-20,,,,,0.15
2011-02-21,,,,,0.15
2011-02-22,2756.42,89.4617,3.46,20.8,0.15
2011-02-23,2722.99,89.4186,3.49,22.13,0.15
2011-02-24,2737.9,89.2346,3.46,21.32,0.15
2011-02-25,2781.05,89.1664,3.42,19.22,0.15
2011-02-26,,,,,0.15
2011-02-27,,,,,0.15
2011-02-28,2782.27,88.9391,3.42,18.35,0.16
2011-03-01,2737.41,88.831,3.41,21.01,0.15
2011-03-02,2748.07,88.7317,3.46,20.7,0.16
2011-03-03,2798.74,88.637,3.58,18.6,0.15
2011-03-04,2784.67,88.4898,3.49,19.06,0.15
2011-03-05,,,,,0.15
2011-03-06,,,,,0.15
2011-03-07,2745.63,88.5207,3.51,20.66,0.14
2011-03-08,2765.77,88.6454,3.56,19.82,0.14
2011-03-09,2751.72,88.5328,3.48,20.22,0.14
2011-03-10,2701.02,88.8698,3.37,21.88,0.14
2011-03-11,2715.61,88.691,3.4,20.08,0.13
2011-03-12,,,,,0.13
2011-03-13,,,,,0.13
2011-03-14,2700.97,88.5191,3.36,21.13,0.14
2011-03-15,2667.33,88.7845,3.33,24.32,0.14
2011-03-16,2616.82,88.9785,3.22,29.4,0.14
2011-03-17,2636.05,88.6549,3.25,26.37,0.14
2011-03-18,2643.67,88.5221,3.28,24.44,0.15
2011-03-19,,,,,0.15
2011-03-20,,,,,0.15
2011-03-21,2692.09,88.2032,3.34,20.61,0.14
2011-03-22,2683.87,88.0665,3.34,20.21,0.14
2011-03-23,2698.3,88.3328,3.36,19.17,0.14
2011-03-24,2736.42,88.0592,3.42,18.0,0.13
2011-03-25,2743.06,88.1716,3.46,17.91,0.13
2011-03-26,,,,,0.13
2011-03-27,,,,,0.13
2011-03-28,2730.68,88.3058,3.47,19.44,0.13
2011-03-29,2756.89,88.3991,3.5,18.16,0.13
2011-03-30,2776.79,88.2298,3.47,17.71,0.13
2011-03-31,2781.07,88.0299,3.47,17.74,0.1
2011-04-01,2789.6,87.7993,3.46,17.4,0.11
2011-04-02,,,,,0.11
2011-04-03,,,,,0.11
2011-04-04,2789.19,87.8406,3.45,17.5,0.09
2011-04-05,2791.19,87.7483,3.5,17.25,0.09
2011-04-06,2799.82,87.4913,3.56,16.9,0.1
2011-04-07,2796.14,87.532,3.58,17.11,0.1
2011-04-08,2780.41,87.1493,3.59,17.87,0.09
2011-04-09,,,,,0.09
