fecha,cierre
2015-01-01,313.81
2015-01-02,315.42
2015-01-03,282.00
2015-01-04,264.00
2015-01-05,276.80
2015-01-06,276.80
2015-01-07,276.80
2015-01-08,276.80
2015-01-09,293.97
2015-01-10,275.59
2015-01-11,266.39
2015-01-12,267.42
2015-01-13,227.00
2015-01-14,171.41
2015-01-15,210.98
2015-01-16,208.03
2015-01-17,199.69
2015-01-18,211.85
2015-01-19,216.34
2015-01-20,210.65
2015-01-21,227.16
2015-01-22,234.08
2015-01-23,233.64
2015-01-24,249.19
2015-01-25,255.31
2015-01-26,274.80
2015-01-27,263.98
2015-01-28,236.07
2015-01-29,235.79
2015-01-30,228.98
2015-01-31,216.90
2015-02-01,226.93
2015-02-02,238.47
2015-02-03,227.99
2015-02-04,227.00
2015-02-05,216.81
2015-02-06,223.37
2015-02-07,228.30
2015-02-08,223.88
2015-02-09,220.90
2015-02-10,220.42
2015-02-11,219.55
2015-02-12,223.00
2015-02-13,237.00
2015-02-14,256.99
2015-02-15,235.63
2015-02-16,234.70
2015-02-17,244.70
2015-02-18,237.37
2015-02-19,240.59
2015-02-20,245.48
2015-02-21,245.41
2015-02-22,236.50
2015-02-23,239.65
2015-02-24,239.55
2015-02-25,237.97
2015-02-26,236.84
2015-02-27,252.78
2015-02-28,253.47
2015-03-01,258.34
2015-03-02,274.93
2015-03-03,281.00
2015-03-04,270.78
2015-03-05,273.09
2015-03-06,272.68
2015-03-07,276.71
2015-03-08,275.00
2015-03-09,287.12
2015-03-10,290.00
2015-03-11,296.54
2015-03-12,295.31
2015-03-13,283.25
2015-03-14,282.01
2015-03-15,286.75
2015-03-16,289.27
2015-03-17,282.80
2015-03-18,256.45
2015-03-19,261.81
2015-03-20,261.96
2015-03-21,260.00
2015-03-22,267.74
2015-03-23,265.94
2015-03-24,245.00
2015-03-25,246.94
2015-03-26,249.23
2015-03-27,247.94
2015-03-28,252.87
2015-03-29,242.00
2015-03-30,247.95
2015-03-31,244.24
2015-04-01,246.69
2015-04-02,253.28
2015-04-03,254.19
2015-04-04,253.70
2015-04-05,260.54
2015-04-06,255.58
2015-04-07,253.72
2015-04-08,244.58
2015-04-09,243.43
2015-04-10,235.99
2015-04-11,236.15
2015-04-12,236.50
2015-04-13,223.15
2015-04-14,215.80
2015-04-15,222.88
2015-04-16,227.50
2015-04-17,222.60
2015-04-18,223.40
2015-04-19,222.54
2015-04-20,224.30
2015-04-21,235.74
2015-04-22,233.45
2015-04-23,235.98
2015-04-24,230.24
2015-04-25,226.12
2015-04-26,219.52
2015-04-27,227.23
2015-04-28,225.16
2015-04-29,225.48
2015-04-30,236.20
2015-05-01,231.00
2015-05-02,233.83
2015-05-03,239.00
2015-05-04,238.34
2015-05-05,235.12
2015-05-06,228.49
2015-05-07,236.87
2015-05-08,243.20
2015-05-09,241.96
2015-05-10,239.13
2015-05-11,241.30
2015-05-12,241.03
2015-05-13,235.97
2015-05-14,237.13
2015-05-15,237.37
2015-05-16,235.66
2015-05-17,235.97
2015-05-18,232.87
2015-05-19,231.40
2015-05-20,234.43
2015-05-21,235.00
2015-05-22,238.99
2015-05-23,237.76
2015-05-24,239.22
2015-05-25,235.59
2015-05-26,235.71
2015-05-27,235.17
2015-05-28,236.46
2015-05-29,236.03
2015-05-30,232.11
2015-05-31,228.91
2015-06-01,223.51
2015-06-02,225.18
2015-06-03,224.27
2015-06-04,222.99
2015-06-05,224.40
2015-06-06,224.99
2015-06-07,222.70
2015-06-08,228.17
2015-06-09,228.70
2015-06-10,227.80
2015-06-11,229.03
2015-06-12,229.40
2015-06-13,231.64
2015-06-14,232.09
2015-06-15,235.92
2015-06-16,250.09
2015-06-17,247.76
2015-06-18,248.40
2015-06-19,243.70
2015-06-20,244.76
2015-06-21,243.64
2015-06-22,246.00
2015-06-23,243.74
2015-06-24,240.19
2015-06-25,241.98
2015-06-26,242.98
2015-06-27,251.21
2015-06-28,248.62
2015-06-29,256.04
2015-06-30,262.50
2015-07-01,257.62
2015-07-02,254.54
2015-07-03,255.92
2015-07-04,260.20
2015-07-05,271.50
2015-07-06,268.51
2015-07-07,265.51
2015-07-08,270.63
2015-07-09,268.92
2015-07-10,285.23
2015-07-11,291.64
2015-07-12,310.55
2015-07-13,292.68
2015-07-14,287.55
2015-07-15,285.67
2015-07-16,277.89
2015-07-17,279.43
2015-07-18,276.79
2015-07-19,275.47
2015-07-20,278.96
2015-07-21,276.76
2015-07-22,277.68
2015-07-23,276.61
2015-07-24,289.01
2015-07-25,288.78
2015-07-26,293.19
2015-07-27,294.29
2015-07-28,294.01
2015-07-29,289.85
2015-07-30,288.01
2015-07-31,284.33
2015-08-01,280.19
2015-08-02,282.32
2015-08-03,280.43
2015-08-04,285.00
2015-08-05,281.13
2015-08-06,277.48
2015-08-07,279.63
2015-08-08,262.19
2015-08-09,265.05
2015-08-10,264.33
2015-08-11,271.15
2015-08-12,267.73
2015-08-13,264.48
2015-08-14,265.40
2015-08-15,261.46
2015-08-16,256.11
2015-08-17,256.47
2015-08-18,224.80
2015-08-19,226.92
2015-08-20,235.54
2015-08-21,233.49
2015-08-22,231.00
2015-08-23,228.89
2015-08-24,209.72
2015-08-25,222.38
2015-08-26,225.80
2015-08-27,225.09
2015-08-28,231.65
2015-08-29,230.54
2015-08-30,229.00
2015-08-31,229.86
2015-09-01,227.96
2015-09-02,229.18
2015-09-03,227.28
2015-09-04,230.52
2015-09-05,235.60
2015-09-06,240.28
2015-09-07,240.19
2015-09-08,244.21
2015-09-09,238.35
2015-09-10,238.66
2015-09-11,240.00
2015-09-12,234.79
2015-09-13,229.66
2015-09-14,229.71
2015-09-15,230.03
2015-09-16,228.34
2015-09-17,232.17
2015-09-18,233.12
2015-09-19,230.00
2015-09-20,230.16
2015-09-21,226.15
2015-09-22,230.42
2015-09-23,229.42
2015-09-24,233.86
2015-09-25,235.22
2015-09-26,233.81
2015-09-27,232.41
2015-09-28,239.14
2015-09-29,236.94
2015-09-30,236.20
2015-10-01,237.15
2015-10-02,237.77
2015-10-03,238.95
2015-10-04,238.60
2015-10-05,240.84
2015-10-06,246.57
2015-10-07,243.20
2015-10-08,242.90
2015-10-09,244.48
2015-10-10,245.71
2015-10-11,248.05
2015-10-12,245.81
2015-10-13,249.73
2015-10-14,252.47
2015-10-15,254.49
2015-10-16,263.09
2015-10-17,270.07
2015-10-18,261.05
2015-10-19,263.66
2015-10-20,270.64
2015-10-21,267.89
2015-10-22,275.21
2015-10-23,278.60
2015-10-24,282.84
2015-10-25,283.96
2015-10-26,286.90
2015-10-27,295.54
2015-10-28,305.67
2015-10-29,314.82
2015-10-30,328.65
2015-10-31,310.18
2015-11-01,325.78
2015-11-02,361.26
2015-11-03,404.06
2015-11-04,408.00
2015-11-05,385.50
2015-11-06,374.47
2015-11-07,383.53
2015-11-08,372.65
2015-11-09,377.90
2015-11-10,336.80
2015-11-11,309.91
