fecha,valor
2018-10-27,2.742705130130629e-05
2018-10-28,2.7404429161924813e-05
2018-10-29,2.681239831463018e-05
2018-10-30,2.694353228339025e-05
2018-10-31,2.6230993098106935e-05
2018-11-01,2.6716491351406024e-05
2018-11-02,2.601888375976011e-05
2018-11-03,2.3727293803824157e-05
2018-11-04,2.387994733691004e-05
2018-11-05,2.3813151198031855e-05
2018-11-06,2.3606265922742154e-05
2018-11-07,2.384467252412276e-05
2018-11-08,2.3514366140114496e-05
2018-11-09,2.317575107497744e-05
2018-11-10,2.3380177879020412e-05
2018-11-11,2.3410446484503447e-05
2018-11-12,2.3323868130113013e-05
2018-11-13,2.3450977026094842e-05
2018-11-14,2.058063752190663e-05
2018-11-15,2.0396088012059584e-05
2018-11-16,2.005048956489785e-05
2018-11-17,1.981138434337617e-05
2018-11-18,1.993902444426209e-05
2018-11-19,1.697213059845616e-05
2018-11-20,1.5526877324339997e-05
2018-11-21,1.5429949267642262e-05
2018-11-22,1.4204208490854237e-05
2018-11-23,1.4158101100131993e-05
2018-11-24,1.2286195643852117e-05
2018-11-25,1.2824950639003836e-05
2018-11-26,1.2138354444658788e-05
2018-11-27,1.2428739569003634e-05
2018-11-28,1.3813073067371494e-05
2018-11-29,1.371576953254774e-05
2018-11-30,1.238276024762078e-05
2018-12-01,1.2092990720161039e-05
2018-12-02,1.1926513453056586e-05
2018-12-03,1.1148126969791164e-05
2018-12-04,1.077807280673886e-05
2018-12-05,1.0476337338317352e-05
2018-12-06,1.0076518524065456e-05
2018-12-07,9.665177537613706e-06
2018-12-08,9.530896070351092e-06
2018-12-09,9.790791716218261e-06
2018-12-10,9.448821333981324e-06
2018-12-11,9.257073822241756e-06
2018-12-12,9.639622838719224e-06
2018-12-13,9.274007695061788e-06
2018-12-14,9.135967702067858e-06
2018-12-15,8.915091535332365e-06
2018-12-16,8.948679425205725e-06
2018-12-17,9.797946154926574e-06
2018-12-18,1.0069429600707751e-05
2018-12-19,1.0110577086165216e-05
2018-12-20,1.0930310949432829e-05
2018-12-21,1.0207669284483782e-05
2018-12-22,1.033328795242116e-05
2018-12-23,1.0237787271675367e-05
2018-12-24,1.0477701163496533e-05
2018-12-25,9.8390761478702e-06
2018-12-26,9.91604055840456e-06
2018-12-27,9.405916131619514e-06
2018-12-28,1.0018945185081738e-05
2018-12-29,9.60275410992414e-06
2018-12-30,9.772498754294874e-06
2018-12-31,9.408105641005433e-06
2019-01-01,9.714802462989948e-06
2019-01-02,9.68007625365248e-06
2019-01-03,9.09876915078607e-06
2019-01-04,9.083383918316921e-06
2019-01-05,6.00189079250542e-06
2019-01-06,6.386188285119351e-06
2019-01-07,6.2297805383839655e-06
2019-01-08,6.1182885298890895e-06
2019-01-09,6.054563814480527e-06
2019-01-10,5.3473182648545925e-06
2019-01-11,5.338283501853187e-06
2019-01-12,5.246263096512543e-06
2019-01-13,5.027794144239936e-06
2019-01-14,5.1862381226441885e-06
2019-01-15,5.06214891560683e-06
2019-01-16,5.120378902273583e-06
2019-01-17,5.504139657655528e-06
2019-01-18,5.46029209719267e-06
2019-01-19,5.510062256847734e-06
2019-01-20,5.256457947957422e-06
2019-01-21,5.249127532148579e-06
2019-01-22,5.3053418379133335e-06
2019-01-23,5.24564388150748e-06
2019-01-24,5.424181817156309e-06
2019-01-25,5.319778402478824e-06
2019-01-26,5.300570600411313e-06
2019-01-27,5.281931753652992e-06
2019-01-28,5.081926267557996e-06
2019-01-29,5.141569503299046e-06
2019-01-30,5.249374110619864e-06
2019-01-31,5.228055439827903e-06
2019-02-01,5.440862499254359e-06
2019-02-02,5.485477494482168e-06
2019-02-03,5.425244033746422e-06
2019-02-04,5.4165417765571e-06
2019-02-05,5.550793557681111e-06
2019-02-06,5.446687978426698e-06
2019-02-07,5.456035964059238e-06
2019-02-08,6.018198999621884e-06
2019-02-09,6.1770757907157295e-06
2019-02-10,6.225687901827954e-06
2019-02-11,6.134127694009889e-06
2019-02-12,6.12537536167287e-06
2019-02-13,6.119812205083685e-06
2019-02-14,6.263542005155865e-06
2019-02-15,6.266825336716373e-06
2019-02-16,6.294714395181464e-06
2019-02-17,6.380225703968625e-06
2019-02-18,6.816811835622875e-06
2019-02-19,6.867275944861457e-06
2019-02-20,6.932388374081111e-06
2019-02-21,6.8702671620098055e-06
2019-02-22,7.158176431125516e-06
2019-02-23,7.441104512415129e-06
2019-02-24,6.755327842750205e-06
2019-02-25,6.9344406426511395e-06
2019-02-26,6.903300009548232e-06
2019-02-27,6.881007476287709e-06
2019-02-28,6.857887412892253e-06
2019-03-01,6.9287112713149355e-06
2019-03-02,6.8745367757516495e-06
2019-03-03,6.794872603821981e-06
2019-03-04,6.6320589356660536e-06
2019-03-05,6.850572960599781e-06
2019-03-06,6.8678136970262e-06
2019-03-07,6.88760441103786e-06
2019-03-08,6.9987419452615346e-06
2019-03-09,7.052765549909366e-06
2019-03-10,7.01385810078973e-06
2019-03-11,6.925840279404905e-06
2019-03-12,6.925615827767609e-06
2019-03-13,6.886779285631289e-06
2019-03-14,6.90684009776548e-06
2019-03-15,6.979740153842833e-06
2019-03-16,7.150132947134881e-06
2019-03-17,7.10703967020325e-06
2019-03-18,7.1306181062973494e-06
2019-03-19,7.120925375306695e-06
2019-03-20,7.169680391390686e-06
2019-03-21,7.071151504607083e-06
2019-03-22,7.012222308749388e-06
2019-03-23,7.003829975726122e-06
2019-03-24,6.979671374619236e-06
