fecha,vol30,umbral_bajo_normal,umbral_normal_elevado,n_ventana,etiqueta
2011-09-17,1.367732,,,1,
2011-09-18,1.329845,,,2,
2011-09-19,1.32857,,,3,
2011-09-20,1.457172,,,4,
2011-09-21,1.457172,,,5,
2011-09-22,1.459838,,,6,
2011-09-23,1.429618,,,7,
2011-09-24,1.426542,,,8,
2011-09-25,1.453763,,,9,
2011-09-26,1.633264,,,10,
2011-09-27,1.640176,,,11,
2011-09-28,1.638013,,,12,
2011-09-29,1.473817,,,13,
2011-09-30,1.473817,,,14,
2011-10-01,1.46664,,,15,
2011-10-02,1.427889,,,16,
2011-10-03,1.430193,,,17,
2011-10-04,1.436042,,,18,
2011-10-05,1.434612,,,19,
2011-10-06,1.401108,,,20,
2011-10-07,1.3747,,,21,
2011-10-08,1.381167,,,22,
2011-10-09,1.379241,,,23,
2011-10-10,1.4994,,,24,
2011-10-11,1.522866,,,25,
2011-10-12,1.523141,,,26,
2011-10-13,1.356128,,,27,
2011-10-14,1.341436,,,28,
2011-10-15,1.321271,,,29,
2011-10-16,1.309931,,,30,
2011-10-17,1.312623,,,31,
2011-10-18,1.311397,,,32,
2011-10-19,1.311611,,,33,
2011-10-20,2.249595,,,34,
2011-10-21,2.252372,,,35,
2011-10-22,2.250255,,,36,
2011-10-23,2.250255,,,37,
2011-10-24,2.456352,,,38,
2011-10-25,2.442236,,,39,
2011-10-26,2.327942,,,40,
2011-10-27,2.323658,,,41,
2011-10-28,2.835055,,,42,
2011-10-29,2.841877,,,43,
2011-10-30,2.869505,,,44,
2011-10-31,2.874088,,,45,
2011-11-01,2.874762,,,46,
2011-11-02,2.873964,,,47,
2011-11-03,2.871594,,,48,
2011-11-04,2.884265,,,49,
2011-11-05,2.935979,,,50,
2011-11-06,2.934632,,,51,
2011-11-07,2.897385,,,52,
2011-11-08,2.902676,,,53,
2011-11-09,2.862185,,,54,
2011-11-10,2.845863,,,55,
2011-11-11,2.843119,,,56,
2011-11-12,2.843518,,,57,
2011-11-13,2.842107,,,58,
2011-11-14,3.026375,,,59,
2011-11-15,3.027495,,,60,
2011-11-16,3.104567,,,61,
2011-11-17,3.104468,,,62,
2011-11-18,3.160191,,,63,
2011-11-19,2.477385,,,64,
2011-11-20,2.478927,,,65,
2011-11-21,2.485922,,,66,
2011-11-22,2.534128,,,67,
2011-11-23,2.371716,,,68,
2011-11-24,2.415676,,,69,
2011-11-25,2.435786,,,70,
2011-11-26,2.43589,,,71,
2011-11-27,1.833783,,,72,
2011-11-28,1.828421,,,73,
2011-11-29,1.79002,,,74,
2011-11-30,1.872574,,,75,
2011-12-01,1.888569,,,76,
2011-12-02,1.93342,,,77,
2011-12-03,1.936962,,,78,
2011-12-04,1.921385,,,79,
2011-12-05,1.83038,,,80,
2011-12-06,1.830446,,,81,
2011-12-07,1.864469,,,82,
2011-12-08,1.859063,,,83,
2011-12-09,1.843421,,,84,
2011-12-10,1.846543,,,85,
2011-12-11,1.848236,,,86,
2011-12-12,1.860462,,,87,
2011-12-13,1.861955,,,88,
2011-12-14,1.503112,,,89,
2011-12-15,1.504291,,,90,
2011-12-16,1.371234,,,91,
2011-12-17,1.371041,,,92,
2011-12-18,1.200445,,,93,
2011-12-19,1.226338,,,94,
2011-12-20,1.325763,,,95,
2011-12-21,1.316905,,,96,
2011-12-22,1.267421,,,97,
2011-12-23,1.266224,,,98,
2011-12-24,1.176154,,,99,
2011-12-25,1.125063,,,100,
2011-12-26,1.124749,,,101,
2011-12-27,1.12676,,,102,
2011-12-28,1.110176,,,103,
2011-12-29,1.114758,,,104,
2011-12-30,1.026074,,,105,
2011-12-31,1.038095,,,106,
2012-01-01,0.965317,,,107,
2012-01-02,0.948042,,,108,
2012-01-03,0.955079,,,109,
2012-01-04,0.958631,,,110,
2012-01-05,1.101583,,,111,
2012-01-06,1.155884,,,112,
2012-01-07,1.20991,,,113,
2012-01-08,1.206864,,,114,
2012-01-09,1.276342,,,115,
2012-01-10,1.325515,,,116,
2012-01-11,1.328195,,,117,
2012-01-12,1.369657,,,118,
2012-01-13,1.359967,,,119,
